uuid,loan_id,amount,created_at,paid_at
a678b4a1902d46dcb89210998aec2eab,22197,5.0,2019-11-22 17:36:51.831780,2019-11-24 13:34:39.114873
71ca719598d24dc7822626a56fe328f9,20075,5.0,2019-11-18 17:31:35.528430,
5dcfd193d7654a02baf3606e42a3bc1f,16682,5.0,2019-11-10 21:30:48.835132,
a42cb47910624580b32a7a117f4ef643,18003,5.0,2019-11-13 22:56:06.774005,2019-11-16 13:00:29.559818
31e87c2af9db480d82f72a6cc063fad2,22444,10.0,2019-11-23 05:31:56.101705,2019-11-29 05:09:14.032676
6ebd721b3edc49a386ee778e0c5dfa45,29153,5.0,2019-12-04 14:39:10.932118,
7faa3668919145fdbb703ab80bdd60ff,17169,5.0,2019-11-12 15:38:30.448831,
63691283bcb844d6a5afdcef17887802,17256,5.0,2019-11-12 17:26:54.328563,2019-11-19 20:04:35.232759
84430e6e7b474af09442f229186e26a7,27630,5.0,2019-12-01 22:02:07.144963,2019-12-04 21:00:16.646064
6a395b43f5c44802a0b205cd7ccde55e,29139,5.0,2019-12-04 14:17:06.868078,
b9c61382da4c4e34be91397ea61cc647,21671,5.0,2019-11-21 18:22:17.618861,2019-11-28 22:57:42.633468
2b714e7dc42e41d694a8d263f09e0bb5,18201,5.0,2019-11-14 12:25:31.956343,2019-11-25 13:10:07.232435
975008f5602f442ea9f2fc2885286d37,17370,5.0,2019-11-12 21:10:51.004919,
3522421c54784edca8470f374ee7d9ff,17443,5.0,2019-11-13 00:36:51.591042,2019-11-13 23:24:06.783057
1ae5ff13047242cf9d0243a065df8de7,23027,5.0,2019-11-24 15:43:42.766127,2019-12-03 16:52:14.453367
37b3bac2b92a4e328854c76c3f8fd3ef,17310,5.0,2019-11-12 18:35:30.668288,2019-11-13 13:33:15.107988
90c2ae59e7624dd2af6ac9e342957d2f,18131,5.0,2019-11-14 08:32:46.839572,2019-11-25 10:20:18.233638
fc7635662c7a4047b03e97e453b2f415,20868,5.0,2019-11-20 13:17:29.423500,2019-11-26 00:39:26.741278
e4b7098176634599883e92ee01cdcdea,17746,5.0,2019-11-13 15:59:46.650526,2020-01-10 21:15:01.961123
c90cc6b93a93448b9bf946fb2f36cede,20496,5.0,2019-11-19 17:50:23.221352,2019-12-04 14:34:15.935086
4708792e9c744a1abc3f5775ab2b2b33,18328,5.0,2019-11-14 17:57:38.927132,
90090782a294474e9e1830e33c3bcdcc,22945,5.0,2019-11-24 12:13:28.332267,2019-11-28 13:39:04.210163
bc7516e813254dbd9fcf54c4a64eff56,17875,5.0,2019-11-13 18:19:11.106125,2019-11-25 15:31:52.814179
96877050866743be82b57bc25e0f349b,18877,5.0,2019-11-15 17:38:14.808534,2019-11-22 00:27:51.299646
73b6d32f68a04cafb9bf3707671e23d5,22505,5.0,2019-11-23 10:52:54.189087,2019-11-24 15:53:28.974114
e33d3e2fe8584ac1a145f0c7359b1acb,18046,5.0,2019-11-14 00:46:12.165927,
eca47096cd8141ecb0cd954e4f849cc0,18614,5.0,2019-11-15 02:53:00.075757,2019-11-29 22:22:08.474853
890d59ad128844ff91c4f64f59d3c643,19243,5.0,2019-11-16 15:22:03.048794,2019-11-26 22:08:23.868210
8be7ecbe76df497d8446d41477fb746f,20159,5.0,2019-11-19 02:02:06.252520,2019-11-22 13:40:06.489023
d7ddb611b2df40149730d3792dda7b4f,22966,5.0,2019-11-24 13:01:49.910687,2019-11-26 19:12:04.314537
ec37bfb9d6e34761b4d0ea9bb2156b1f,18480,5.0,2019-11-14 22:29:07.156932,
